Группа и строка из 646 приказа;Тип продукции;ID типа продукции;Продукция;ТН ВЭД Продукции;Guid продукции;Вид продукции;ТН ВЭД Вида продукции;Guid вида продукции
Группа 2, Строка 1;Мясо и мясопродукты;1;мясо птицы;207;337f79dc-4376-6e33-dabe-d5447913b97d;"индейка: ""не разделенная на части, охлажденная""";20724;9939b742-6835-3946-ecb6-be677e26c64d
Группа 2, Строка 1;Мясо и мясопродукты;1;мясо птицы;207;337f79dc-4376-6e33-dabe-d5447913b97d;"утки, гуси или цесарки: ""не разделенные на части, охлажденные""";020741, 020751, 020760;34c1146b-8e6b-e3a4-4a15-53ed48ebd7e4
Группа 2, Строка 1;Мясо и мясопродукты;1;мясо птицы;207;337f79dc-4376-6e33-dabe-d5447913b97d;"индейка: ""фарш и мясо мехобвалки, мороженые""";207271;8f78b5eb-62e3-62c1-388d-0efffa9ba905
Группа 2, Строка 1;Мясо и мясопродукты;1;мясо птицы;207;337f79dc-4376-6e33-dabe-d5447913b97d;"курица домашняя: ""не разделенная на части мороженая""";20712;5346cfed-86a5-4ba0-235e-5b0faa81fb87
Группа 2, Строка 1;Мясо и мясопродукты;1;мясо птицы;207;337f79dc-4376-6e33-dabe-d5447913b97d;"утки, гуси или цесарки: ""части тушек необваленные, охлажденные""";020744, 020754, 020760;1c981de7-1828-e776-c5dd-4b51203a0757
Группа 2, Строка 1;Мясо и мясопродукты;1;мясо птицы;207;337f79dc-4376-6e33-dabe-d5447913b97d;"курица домашняя: ""части тушек необваленные, охлажденные""";0207132-0207137;23175390-cfa2-94a4-8eac-6237f4a47385
Группа 2, Строка 1;Мясо и мясопродукты;1;мясо птицы;207;337f79dc-4376-6e33-dabe-d5447913b97d;"утки, гуси или цесарки: ""части тушек обваленные, охлажденные""";020744, 020754, 020760;a1035ee8-db8e-e9ad-e357-96bb79a32e1d
Группа 2, Строка 1;Мясо и мясопродукты;1;мясо птицы;207;337f79dc-4376-6e33-dabe-d5447913b97d;"индейка: ""части тушек необваленные мороженые""";0207272-0207278;a2188a27-e2e1-cf28-128b-9ca43daebaed
Группа 2, Строка 1;Мясо и мясопродукты;1;мясо птицы;207;337f79dc-4376-6e33-dabe-d5447913b97d;"утки, гуси или цесарки: ""субпродукты, мороженые""";020745, 020755, 020760;3888c4fd-d581-0196-fb08-686998cbf9e3
Группа 2, Строка 1;Мясо и мясопродукты;1;мясо птицы;207;337f79dc-4376-6e33-dabe-d5447913b97d;мясо птицы;207;bb7ab7a7-4d5c-f81d-50a9-da5bf9bbb1e9
Группа 2, Строка 1;Мясо и мясопродукты;1;мясо птицы;207;337f79dc-4376-6e33-dabe-d5447913b97d;"курица домашняя: ""части тушек обваленные, охлажденные""";207131;c7cf9fdc-6b23-def0-dc46-20c124bb793e
